"","A","B","C","D","E","F","G","H","I"
"Q74DB5",7.579904,7.405756,7.462733,7.648896,7.539823,7.567109,7.539823,7.462273,7.60566
"Q746R1",6.9907865,5.528646,5.305277,6.875831,6.97868725,6.868903,6.97868725,5.6296185,6.992705
"Q74AR6",8.075402,6.97557,7.0147275,7.937498,8.061358,7.967141,8.061358,6.8777885,7.9232085
"Q74CD6",7.0426755,6.492453,6.474402,6.922762,7.03240775,6.982425,7.03240775,6.480585,6.952041
"Q74EB5",6.4520245,5.102889,5.075522,6.564287,6.42322075,6.543708,6.42322075,5.2164695,6.428493
"Q748M4",7.6931825,7.205015,7.2334955,7.549972,7.70664575,7.598385,7.70664575,7.266391,7.6093795
"Q74EM9",5.89726,5.896278,5.766057,5.882006,5.954669,6.057894,5.954669,5.896471,5.9010595
"Q74EA2",6.994059,7.125091,7.0389585,6.984343,6.972861,6.927232,6.972861,7.0420185,7.008763
"Q74GB4",7.528737,6.976469,6.87108,7.200468,7.537843,6.97999,7.537843,6.932229,7.1866085
"Q74G96",7.1608885,7.293849,6.9264165,6.798844,7.24862425,6.996656,7.24862425,7.380336,6.800672
"Q749B6",4.743515,5.329728,5.182651,5.208672,5.479007,6.692715,5.479007,5.249817,5.7456355
"Q74FG5",7.1610605,7.631667,7.646162,7.416258,7.22681325,7.444404,7.22681325,7.576147,7.3984155
"Q74AT4",6.9739055,6.924191,6.7793895,7.303779,6.98771125,7.331103,6.98771125,6.9069985,7.296695
"Q74D58",6.9757585,6.754409,6.725011,6.88475,6.96772425,6.79883,6.96772425,6.756895,6.892766
"Q74AW2",7.3419925,7.542714,7.4957485,7.418019,7.37074675,7.424784,7.37074675,7.464936,7.362104
"Q74G61",7.061999,5.396628,5.2630685,6.800587,6.941087,6.786311,6.941087,5.2440715,6.8535335
"Q74C42",7.087512,6.339272,6.2411435,6.977605,7.0925405,6.848983,7.0925405,6.409776,6.9795715
"Q747W4",6.089962,5.08505,5.0763005,6.56103,6.2108765,6.868697,6.2108765,5.6893055,6.691978
"Q748A9",6.458976,6.075693,6.188144,6.508234,6.4717875,6.463938,6.4717875,6.138217,6.4830125
"Q74EG8",8.4773945,7.359892,7.279247,8.474245,8.50360475,8.377889,8.50360475,7.3886655,8.373878
"Q74EW6",6.144304,6.203386,6.22672,5.965409,5.9695945,5.962355,5.9695945,6.1310765,5.9190535
"Q74B33",6.2346155,5.555717,5.584625,6.435892,6.20989475,6.44248,6.20989475,5.7318265,6.441618
"Q747I5",7.446343,6.440153,6.7441615,7.195512,7.5089675,7.345805,7.5089675,6.4714745,7.233514
"Q749K4",6.8521545,7.025101,6.9515385,6.98969,6.87549475,7.115311,6.87549475,6.8837285,7.087956
"Q747Z8",7.275007,7.167613,7.036788,7.274296,7.269286,7.236109,7.269286,7.213675,7.290896
"Q74BL2",7.0692265,7.394189,7.3344155,7.106259,7.07267825,7.072323,7.07267825,7.298434,7.127801
"Q74H18",5.628758,6.186646,6.122213,6.517262,5.851183,6.228323,5.851183,5.824101,6.4104665
"Q74BL1",7.0358995,7.71265,7.7020645,7.125546,6.98618925,7.095483,6.98618925,7.5727775,7.048086
"Q74BI9",6.460877,6.446055,6.4978295,6.614085,6.4432955,6.557663,6.4432955,6.6271935,6.562221
"Q74D53",9.040855,8.275127,8.379813,8.368881,9.0267195,8.279575,9.0267195,8.346191,8.3511335
"Q74C59",6.6682,5.896112,5.9305015,6.398634,6.632838,6.663805,6.632838,5.8921485,6.563445
"Q74CI3",6.881493,6.489438,6.4928865,6.835297,6.9078845,6.781238,6.9078845,6.540346,6.800996
"Q747F9",7.6842135,6.787397,6.5706565,7.484613,7.65442825,7.536483,7.65442825,6.7972765,7.522732
"Q74AW5",7.6017825,6.610618,6.6077565,7.260906,7.65459125,7.170174,7.65459125,6.6407055,7.0976895
"Q74D68",7.7201345,7.507424,7.537284,7.484827,7.69672975,7.487506,7.69672975,7.5157345,7.4786745
"Q74BF9",6.380512,4.857187,4.9516315,5.991523,6.4291275,5.976405,6.4291275,5.081548,6.1949835
"Q74DD9",6.6750055,6.770115,6.845656,7.052001,6.69740425,7.087497,6.69740425,6.732531,7.0698025
"Q74DU6",7.3052225,6.120574,5.901504,7.031853,7.25547075,6.785934,7.25547075,6.0126285,7.017096
"Q74BI1",6.0745345,6.075292,6.129039,6.391711,5.96851775,6.335016,5.96851775,6.1010525,6.341051
"Q74E59",6.8705825,6.627468,6.6738385,6.520588,6.87314025,6.44367,6.87314025,6.5808995,6.612618
"Q74FD9",5.966175,6.703919,5.868757,7.266819,6.3744565,7.233783,6.3744565,6.7709335,7.102642
"Q749A5",7.5698705,7.386998,7.366411,6.912424,7.57064975,6.820589,7.57064975,7.5178105,6.9010365
"Q748X7",6.737076,6.86154,6.999273,6.849972,6.6814515,6.899651,6.6814515,6.8479645,6.855218
"Q74EA5",6.369833,6.642375,6.577096,6.871567,6.406884,6.9121,6.406884,6.5165315,6.856707
"Q74GW7",5.922172,5.455971,5.3961325,4.937721,5.86971,5.964156,5.86971,5.567527,5.3350855
"Q74GT6",7.6307105,6.880173,6.9994505,7.130301,7.63804675,7.053463,7.63804675,6.889416,7.1365175
"Q74F94",6.8111405,7.17374,7.284638,6.655945,6.76111925,7.098886,6.76111925,7.1066365,6.8291635
"Q746W5",7.985957,8.433402,8.4179265,8.075948,7.994385,8.072066,7.994385,8.372631,8.0265865
"Q748T6",7.2885015,6.616097,6.5285265,7.277747,7.25423925,7.128529,7.25423925,6.429195,7.2762065
"P60401",8.0881535,7.622359,7.661808,8.115277,8.04384225,8.156277,8.04384225,7.724029,8.1351395
"Q746R5",7.646976,7.413635,7.41826,7.525459,7.5956335,7.454281,7.5956335,7.3255645,7.5308195
"Q74DW5",7.8579205,7.563552,7.4886855,8.042103,7.91559825,7.892334,7.91559825,7.5623925,8.029171
"Q749B2",8.4252475,8.085754,8.0973285,8.50614,8.41865225,8.43949,8.41865225,8.1442575,8.4937485
"Q74FE8",7.32783,6.806587,6.8133255,6.938425,7.3287765,6.898813,7.3287765,6.849363,6.933991
"Q74C58",5.91718,6.963679,7.011451,6.58853,5.915939,6.593685,5.915939,7.028112,6.6160555
"Q74CI7",5.1611305,5.45971,5.289104,7.219401,5.00600375,4.941362,5.00600375,5.50138,6.2322245
"Q74D01",8.1854235,8.011655,8.028548,8.224766,8.16165775,8.20044,8.16165775,7.968042,8.2258245
"I7EP62",7.6309675,6.589838,6.6071685,7.187239,7.70270925,7.094366,7.70270925,6.590401,7.198082
"Q74GP9",7.1075985,6.846015,6.956599,7.022098,7.11008525,7.083252,7.11008525,6.8415425,7.0735945
"Q749B3",8.0384825,8.106429,8.154377,8.225697,8.03352675,8.165066,8.03352675,8.0632295,8.238777
"Q74GY4",7.7212025,7.458955,7.2554395,7.758389,7.77143675,7.807501,7.77143675,7.5318335,7.766836
"Q747I6",6.4538175,6.612975,6.452172,6.747924,6.56755625,6.781404,6.56755625,6.637323,6.7863245
"Q74AH6",6.9336735,6.786815,6.8018265,6.947277,6.95566675,6.942464,6.95566675,6.7462795,6.94463
"Q74FV2",6.810588,6.775698,6.936356,6.912488,6.881067,6.876333,6.881067,6.7036875,6.9094735
"Q74FL9",7.4514175,7.195678,7.239693,7.171551,7.43747925,7.080951,7.43747925,7.205274,7.201587
"Q74AI4",7.5032995,7.78456,7.8307065,7.553154,7.56950225,7.387888,7.56950225,7.8040855,7.5705895
"Q74H54",7.2484025,7.36487,7.3528455,7.388598,7.26949675,7.357668,7.26949675,7.4250045,7.375823
"Q74A50",6.8601925,6.224326,6.411755,6.597542,6.83737975,6.52264,6.83737975,6.3368715,6.6027395
"Q74H10",6.8922715,6.569526,6.6183915,6.846943,6.83835875,6.62752,6.83835875,6.6375325,6.852029
"Q747G5",7.3388635,6.633791,6.6802345,6.998974,7.35227875,7.033303,7.35227875,6.735067,7.0350965
"Q74FW2",8.7546995,7.828892,7.7601105,8.63268,8.73929925,8.56573,8.73929925,7.7900625,8.5606015
"Q74CA2",7.169363,7.001907,6.997175,7.481299,7.3235315,7.509592,7.3235315,6.9996075,7.519415
"Q74FS2",7.830645,7.670339,7.646613,7.683668,7.916729,7.806601,7.916729,7.701768,7.694659
"Q74AE9",7.2862605,6.546135,6.37352,7.166697,7.31376825,7.138208,7.31376825,6.3017105,7.151804
"Q74DS3",8.4469875,8.006209,7.930455,8.338696,8.45333325,8.369494,8.45333325,7.9895275,8.3926015
"Q74GT0",6.402252,6.426283,6.4052195,6.717446,6.454385,6.649821,6.454385,6.420177,6.659699
"Q74D91",6.9124015,7.5388,7.585193,6.950102,6.93733575,6.888112,6.93733575,7.5596285,6.9116705
"Q74BV7",7.1622915,6.598013,6.526543,7.08059,7.15550875,6.833204,7.15550875,6.6083025,6.951709
"A0A0D5N9H1",5.1408475,5.295286,5.430844,5.83956,4.86859475,5.678509,4.86859475,5.2121515,5.841097
"Q746W3",7.550515,7.34183,7.227636,7.467593,7.5793655,7.639815,7.5793655,7.4680505,7.184825
"Q749E9",6.272822,7.166903,7.0086765,6.469704,6.1998335,6.542203,6.1998335,7.1045225,6.317296
"Q747F3",6.765031,7.531734,7.546966,7.039533,6.762017,7.067331,6.762017,7.6265165,7.044259
"Q74GH5",6.8975825,6.885548,6.938161,6.906184,6.92312475,6.446491,6.92312475,6.927095,6.9156555
"P61304",7.388394,6.989485,6.9392895,7.434601,7.429887,7.419989,7.429887,6.9375475,7.436801
"Q749W7",6.922365,6.925771,6.7377425,6.996402,6.9373435,6.950467,6.9373435,6.9296215,7.0186405
"Q74BV0",7.326551,7.418401,7.538559,7.529109,7.4085285,7.503437,7.4085285,7.439657,7.4650135
"Q74C55",5.0555275,5.215844,5.1104075,6.759192,5.25612925,5.265069,5.25612925,5.4949645,5.9562775
"Q74EF4",7.215097,7.213358,7.2510605,7.252149,7.2584325,7.196259,7.2584325,7.206995,7.2710805
"Q74E77",6.8007075,6.801664,6.7865855,6.97261,6.77001325,6.98345,6.77001325,6.7594635,6.9113215
"Q74CH8",6.8806695,6.533569,6.568838,6.816679,6.87770625,6.763503,6.87770625,6.4683275,6.8977535
"Q74FM1",6.1578775,5.65824,5.4532625,6.275749,6.15663725,6.172953,6.15663725,5.3588335,6.16845
"Q74GU2",6.579741,6.808582,6.7840345,6.573231,6.598554,6.624901,6.598554,6.6970665,6.638948
"Q74DP3",6.4493165,5.28975,5.8422145,6.634225,6.47709075,6.643404,6.47709075,5.7477205,6.678939
"Q74C68",5.6145285,5.2136,5.3936395,5.532614,5.36035825,5.529871,5.36035825,5.2163,5.2452585
"Q74DC9",6.24153,6.171844,6.120608,6.497427,6.394769,6.641068,6.394769,6.098575,6.5118055
"Q747Y3",8.5130825,8.567897,8.5830975,8.236739,8.47629475,8.2925,8.47629475,8.524383,8.2643205
"Q74FA9",5.224119,5.437541,5.351935,5.910096,5.1780935,6.395763,5.1780935,5.3109815,5.9716395
"Q74DP4",7.0190695,6.77252,6.9279755,6.782931,6.93696725,6.810737,6.93696725,6.7277475,6.8142345
"Q74AR5",5.578311,5.376761,5.373826,5.738202,5.5613445,5.864256,5.5613445,5.4170855,5.9594795
"Q74CL9",5.7992685,5.69824,5.5906285,6.112873,5.81022375,6.025183,5.81022375,5.718716,6.0855545
"Q74DI5",5.8372495,6.630692,6.5745175,6.093001,5.96887875,6.101507,5.96887875,6.5468295,6.045519
"Q74BZ2",8.061253,7.825024,7.7898925,7.94298,8.061767,7.897852,8.061767,7.8254555,7.924372
"Q74CN7",6.988853,6.495086,6.4104955,7.021272,7.0102925,7.075292,7.0102925,6.3287505,7.0239435
"Q74D23",8.150833,8.92798,8.898547,8.332681,8.10787,7.652198,8.10787,8.8833795,8.031392
"Q74DL1",7.9432585,7.372378,7.3315845,8.591209,7.88285725,8.599599,7.88285725,7.3245235,8.5374905
"Q749L6",5.9825145,6.640283,6.6657705,6.375078,6.03431275,6.393347,6.03431275,6.5773955,6.338802
"Q74H64",7.538293,8.002598,7.9091145,7.454372,7.5553615,7.467845,7.5553615,8.0235685,7.491747
"Q74FY7",6.4978415,5.866872,5.831397,6.382107,6.47803575,6.384551,6.47803575,5.7737035,6.4050155
"Q74FI2",6.1115025,6.188225,6.2830295,6.143577,6.11247225,6.340444,6.11247225,6.250624,6.1558015
"P62061",7.215944,6.850628,6.8932565,7.000434,7.2139195,6.93682,7.2139195,6.8113905,7.017411
"Q74EZ4",6.9648105,7.524694,7.4722425,6.960023,6.94964925,6.962583,6.94964925,7.5322175,7.020649
"Q74CF4",7.0168365,6.713457,6.733317,6.934751,7.05490125,6.821952,7.05490125,6.7425185,6.9442215
"Q749X7",7.4304475,7.672218,7.605289,7.124537,7.40063775,7.145289,7.40063775,7.7411545,7.082728
"CON__sp|P04259|K2C6B_HUMAN",5.1894,5.851234,5.602592,5.739493,5.023665,6.17234,5.023665,5.662201,5.647215
"Q74CN6",7.148442,6.343251,6.2692015,7.118298,7.1272995,7.152777,7.1272995,6.4204635,7.170195
"Q747K5",6.3771325,5.971401,5.950203,6.281942,6.26803375,6.030154,6.26803375,5.8147585,6.324145
"Q74GW5",6.765484,5.987849,5.978544,6.755158,6.825281,6.738709,6.825281,6.0460315,6.84866
"Q748N9",5.7833385,5.839836,5.955767,6.140256,5.73175525,6.152074,5.73175525,5.8458895,6.3523425
"Q74BF8",6.731795,6.699517,6.6947325,6.798961,6.785023,6.685984,6.785023,6.728468,6.78011
"Q74BM9",7.353924,6.476759,6.361333,7.066288,7.3679615,6.971067,7.3679615,6.3998715,7.0382305
"Q74AE6",7.6724395,7.993268,7.9263775,7.570228,7.70883525,7.553494,7.70883525,7.962401,7.534228
"Q74E09",6.4909375,6.091491,6.0967735,6.499866,6.67030425,6.448397,6.67030425,6.065651,6.4903605
"Q74ES4",5.7971265,6.557002,6.421527,6.713902,5.50357025,6.597673,5.50357025,6.615182,6.603652
"Q748S8",6.6669925,6.304404,6.4102975,6.314962,6.66006875,6.324015,6.66006875,6.3616345,6.3622275
"Q74G70",5.7793385,5.504552,5.520794,5.838188,5.86818775,5.426349,5.86818775,5.5889775,5.8661635
"Q74FU1",7.260337,7.115943,7.117137,7.338377,7.297797,7.418401,7.297797,7.1197505,7.348812
"Q74GW4",6.9185195,6.351023,6.4288045,6.877083,6.90716725,6.732072,6.90716725,6.4090565,6.831413
"Q74GW1",6.54134,6.167495,6.172256,6.660106,6.543441,6.668414,6.543441,6.0212465,6.690921
"Q748S4",6.459291,6.90425,6.7126485,6.580161,6.465416,6.405415,6.465416,6.908475,6.5681835
"Q74CI0",7.1976005,7.004708,6.8913935,7.038779,7.12545475,6.819761,7.12545475,6.9606705,7.085279
"Q74D82",6.416299,6.429429,6.5859515,6.653116,6.417987,6.578708,6.417987,6.472499,6.674745
"Q74G99",6.9621485,6.861887,6.83542,6.63735,6.94219575,6.581904,6.94219575,6.918726,6.6741185
"Q74D27",6.3485035,6.463281,6.503327,6.502987,6.36566525,6.620188,6.36566525,6.415756,6.499328
"Q74DJ9",6.8989915,6.53599,6.4231825,6.985395,6.88769675,6.80721,6.88769675,6.512531,6.9648055
"Q747X7",5.776561,5.454128,5.461521,5.914597,5.6658275,6.110993,5.6658275,5.4090915,5.876896
"Q74D57",6.4608025,6.327012,6.4517745,6.663475,6.48522425,6.647461,6.48522425,6.2086,6.596382
"Q74GB5",7.321049,7.629155,7.539802,7.502714,7.382469,7.517407,7.382469,7.625358,7.527399
"Q746Z7",6.932618,5.078413,5.1358415,6.372931,6.962844,6.462353,6.962844,5.0467345,6.23412
"Q749Y6",6.597034,6.292964,6.2412555,6.391817,6.573949,6.505909,6.573949,6.256863,6.476763
"Q749C8",5.069788,4.979974,5.1021225,5.548291,5.197058,5.424473,5.197058,5.2680605,5.445458
"Q74EZ5",7.206145,7.439364,7.367762,7.383402,7.249234,7.288517,7.249234,7.4422195,7.396414
"Q74EG2",7.146742,6.961753,7.046654,6.97424,7.1756075,6.983067,7.1756075,6.9271185,7.063356
"Q74DN9",6.4017565,5.12121,5.322878,6.534927,6.56578875,6.793113,6.56578875,5.3135185,6.5678845
"P62215",7.464467,7.374693,7.325566,7.3049,7.5203465,7.243708,7.5203465,7.4059125,7.2191715
"Q747G8",6.501714,6.671015,6.578269,6.506654,6.519735,6.567356,6.519735,6.6973585,6.525671
"Q747W8",6.153854,6.003029,5.752869,6.140288,6.1583585,6.078058,6.1583585,5.822755,6.145599
"Q749U8",5.742194,6.583788,6.6875285,6.085683,5.767356,6.018326,5.767356,6.5792105,5.9958175
"Q74AS5",6.5268865,6.157063,5.938371,6.481471,6.48206475,6.46507,6.48206475,5.8893255,6.5204555
"Q74D47",6.4522535,6.16717,6.1373595,6.697491,6.44149475,6.731516,6.44149475,6.1630075,6.668135
"Q74F42",6.8226065,7.560038,7.5314305,7.199563,6.84185225,7.10353,6.84185225,7.406154,7.2151335
"Q74FS0",5.987286,5.772967,5.775993,6.363575,6.0638815,6.306489,6.0638815,5.800533,6.3332125
"Q749G2",6.243784,7.053846,7.183867,6.551218,6.32041,6.640133,6.32041,7.0168225,6.571575
"Q74C36",6.441507,5.974092,5.9987545,6.268555,6.3564305,6.285107,6.3564305,5.5783315,6.3146025
"P61000",6.3591155,6.407119,6.3985145,6.366871,6.38182925,6.367039,6.38182925,6.442893,6.296452
"Q748B5",6.252881,6.026043,6.1337325,6.092299,6.2318405,6.092721,6.2318405,6.0740965,6.027689
"Q74AD0",6.027761,5.90478,6.0359155,6.485651,6.0911535,6.084397,6.0911535,5.9952315,6.3742055
"Q747L5",5.3953935,4.980321,5.1727265,5.308621,5.24136825,5.322125,5.24136825,5.188302,5.3636855
"Q74DH9",6.037087,6.633973,6.5680225,6.176699,5.8471385,5.958846,5.8471385,6.5486645,6.226523
"Q74CA9",7.063025,6.550192,6.59557,6.972527,7.028779,6.883224,7.028779,6.557133,7.001705
"Q748T7",5.079272,5.456214,5.6403845,6.071145,5.2041515,6.016699,5.2041515,5.5655055,6.0156675
"Q747Q4",6.890852,6.668572,6.6471275,6.969411,6.8715805,6.999561,6.8715805,6.7084225,6.948301
"Q74AC8",5.336905,5.834936,6.0648995,5.542726,5.3617285,5.372157,5.3617285,5.98395,5.5307185
"Q74D93",5.9956115,5.291384,5.2282775,6.001777,6.14143775,6.205204,6.14143775,5.325701,5.8654625
"Q747B8",5.9818955,5.985678,5.8044235,6.279096,5.96447575,5.98863,5.96447575,5.4637095,6.3738545
"A0LFY6",5.076222,5.360892,5.4664335,5.209636,4.981761,5.590331,4.981761,5.6330715,5.0534375
"Q749Z0",7.1869845,6.971438,6.933491,7.084576,7.22267925,6.940835,7.22267925,6.843399,7.0013715
"Q74FU4",5.0899335,6.127785,6.1162725,5.905072,4.86738025,6.000998,4.86738025,6.058711,5.8896495
"Q747K6",7.6205315,7.4817,7.4650405,7.982927,7.52717475,8.016741,7.52717475,7.488289,7.937196
"Q74G86",6.0709735,6.181415,6.211356,6.185938,6.00247075,6.306168,6.00247075,6.1146565,6.2897215
"Q74FM8",7.4704815,6.919052,7.0068665,7.034789,7.39820375,7.134145,7.39820375,7.0379065,7.0847855
"Q74GF6",6.874186,6.685285,6.674987,6.554695,6.8659945,6.441176,6.8659945,6.752118,6.588024
"Q74A26",6.141622,5.5774,5.624439,5.780007,5.5979855,5.900176,5.5979855,5.605621,5.7109735
"Q74G00",6.327397,6.36825,6.1032315,6.564382,6.227963,6.333951,6.227963,6.252168,6.487858
"Q74GU4",6.9775215,6.683776,6.783628,6.922793,7.04216175,6.780007,7.04216175,6.7582735,6.8533735
"Q746R4",6.6836535,5.636167,5.3363845,6.529148,6.59593675,6.548304,6.59593675,5.8812955,6.4780005
"Q74H71",5.9694,5.076231,5.3058575,6.080698,6.064694,5.869384,6.064694,5.3452635,5.5720165
"Q74AY0",6.3421195,5.314494,5.4305385,6.355815,6.45784375,5.129341,6.45784375,5.3918675,5.8272085
"Q74BP5",6.157146,5.81378,5.504576,5.036537,6.0776285,6.092545,6.0776285,5.5639705,5.6930045
"Q74GR6",6.739388,6.584048,6.481731,6.503791,6.7112625,6.467386,6.7112625,6.5952415,6.463215
"Q74CE5",6.6835665,6.375773,6.4934825,6.552425,6.66619225,6.669967,6.66619225,6.495272,6.532868
"Q74EF1",6.8424035,7.026411,6.9371955,6.917337,6.84799625,6.93843,6.84799625,7.0630115,6.81031
"Q747K4",6.266247,6.106905,5.99067,6.178776,6.2703065,6.335598,6.2703065,6.0147245,6.3602585
"Q747G1",8.4414525,8.253605,8.3223055,8.2615,8.55026625,8.322736,8.55026625,8.2347405,8.2138315
"Q74GY3",7.7091865,7.822541,7.8307735,7.540279,7.70829325,7.652033,7.70829325,7.912677,7.540829
"Q74AF0",6.2051425,6.593806,6.7031725,6.398044,6.27473775,6.264227,6.27473775,6.6359665,6.4112995
"Q749E2",5.59003,6.120706,6.1529255,6.318001,5.596912,6.192261,5.596912,6.0777275,6.2989255
"Q74BP2",6.8321425,6.901393,6.7225755,6.70559,6.78594825,6.564512,6.78594825,6.8642585,6.7380295
"Q74GU3",6.5768995,6.454494,6.5338875,6.446801,6.63380925,6.454159,6.63380925,6.531772,6.5039335
"A0A0D5N8S2",5.9823065,6.841197,6.8490745,7.039176,6.11278375,5.965808,6.11278375,6.870024,6.73469
"Q748X6",6.3603185,7.000347,7.0041755,6.593186,6.37432525,6.463863,6.37432525,7.0181485,6.6049935
"Q74H40",6.4158015,6.488931,6.574675,6.787368,6.47892725,6.713574,6.47892725,6.5351215,6.834955
"Q74CM8",5.386617,6.270399,6.248744,5.75151,5.525258,5.864843,5.525258,6.2222005,5.724422
"Q74CT1",5.318725,5.872727,5.650389,5.768209,5.008085,5.853461,5.008085,5.6873205,5.8272625
"Q74DK5",7.047207,5.82577,5.534509,7.243608,6.9949495,6.90412,6.9949495,5.7314395,7.2203065
"Q74FG7",6.399284,5.660524,5.4880545,6.458472,6.434089,6.366049,6.434089,5.893344,6.355735
"Q74EL8",6.849214,7.351255,7.4138695,6.693419,6.820761,6.596718,6.820761,7.3389385,6.809053
"Q74GU8",6.7485765,7.090505,7.043677,6.797295,6.58637775,6.767215,6.58637775,7.0286355,6.8014045
"P61453",7.4138755,7.207931,7.205305,7.375828,7.40252025,7.342363,7.40252025,7.246068,7.3059305
"Q74E41",6.374231,5.91687,5.8618745,6.058312,6.4126245,5.96434,6.4126245,5.6850085,6.0965155
"Q74CS1",7.113155,6.714045,6.8566465,7.089835,7.0849535,7.047197,7.0849535,6.8695525,7.017765
"Q74AW8",6.4911925,5.991186,5.795546,6.866175,6.47703475,6.900711,6.47703475,5.9515075,6.8111735
"Q748M8",6.2029455,6.506735,6.6317655,6.322116,6.23885175,6.423491,6.23885175,6.482626,6.3610245
"Q74BW4",6.446159,6.759033,6.787269,6.394907,6.405289,6.44226,6.405289,6.776757,6.438454
"Q74BF4",6.4047295,5.879033,5.542482,6.146345,6.43887475,6.174031,6.43887475,5.8575235,6.2321205
"Q74CR6",6.7802765,6.247703,5.8872895,6.675347,6.80195675,6.685921,6.80195675,6.3111615,6.7049655
"Q74D26",6.606262,6.883321,6.704817,6.809815,6.5067075,6.734808,6.5067075,6.978355,6.7836435
"Q74B46",6.97152,6.70803,6.764955,6.890684,7.0197975,6.968959,7.0197975,6.706463,6.8437055
"Q74DP5",7.0205385,7.179552,7.3706365,7.121921,6.94085725,6.893856,6.94085725,7.3082385,7.0925145
"Q74BM0",6.3812605,6.187915,6.207412,5.926898,6.29139725,6.058084,6.29139725,6.1916165,6.0079065
"A0A0D5NDC4",7.878521,8.148417,8.143975,7.239224,7.9187695,7.747963,7.9187695,8.09084,7.296935
"Q747G3",6.106349,5.255571,5.2273905,5.731049,6.2320655,5.625683,6.2320655,5.3664065,5.7337905
"Q747M1",6.4590565,7.305974,7.259174,6.495364,6.48413625,6.415441,6.48413625,7.409296,6.538338
"Q74EZ6",6.4982875,6.513763,6.4955145,6.753989,6.49446725,6.694983,6.49446725,6.589334,6.836954
"Q74FS5",6.3300765,5.926625,5.8259745,5.64282,6.29298775,5.564666,6.29298775,6.043006,5.936979
"Q74AR1",7.2279805,6.86838,6.896366,7.057704,7.23110975,7.003719,7.23110975,6.947109,7.0911365
"Q747E6",6.595911,5.890018,5.706436,6.527075,6.5862355,6.496473,6.5862355,5.9315755,6.522676
"Q747E8",6.8054365,6.865098,6.7939935,6.845544,6.93595575,6.905056,6.93595575,6.869677,6.883316
"Q748K5",6.6017585,6.359741,6.287385,6.704151,6.53397925,6.344137,6.53397925,6.2787175,6.684542
"Q74AW0",6.7596855,6.989,7.022838,6.654196,6.74294925,6.640004,6.74294925,7.092367,6.65892
"Q74GI7",6.0958145,6.042772,5.976546,6.261858,6.12075375,6.333951,6.12075375,5.9304625,6.283841
"Q74B95",5.563516,5.605855,5.6010375,5.428054,5.615363,5.600733,5.615363,5.446694,5.568611
"Q749M4",6.0203285,5.57732,5.4536165,5.944582,5.98647325,6.115544,5.98647325,5.6188225,5.695241
"Q74CB6",6.9559805,7.050728,6.904062,6.894853,6.96349575,6.81504,6.96349575,7.043299,6.905948
"Q746U7",7.0403985,6.836982,6.8280785,6.865086,7.00282125,6.752532,7.00282125,6.870838,6.87995
"Q747A2",6.645193,6.311372,6.1228165,6.544093,6.664489,6.391165,6.664489,6.146185,6.543341
"Q3V8C9",6.7091185,5.000908,5.454353,6.492271,6.69270475,6.339094,6.69270475,5.4280135,6.525999
"Q74C99",6.587994,6.515304,6.5546325,6.712287,6.5970855,6.705975,6.5970855,6.4331825,6.690304
"Q74AT7",6.679229,6.611872,6.6432425,6.611712,6.6824135,6.69729,6.6824135,6.664459,6.693508
"Q749E7",6.30357,6.313972,6.3168615,6.640173,6.2805645,6.639805,6.2805645,6.3221525,6.634618
"Q74GG0",4.7377345,5.441679,5.3949155,5.476234,4.87231275,5.400407,4.87231275,5.326894,5.546291
"Q74EN5",6.4312795,5.695867,5.6669785,6.608665,6.44911075,6.502072,6.44911075,5.7044895,6.7191225
"Q74CH0",6.755028,6.91578,6.9473815,6.868386,6.7570985,6.815538,6.7570985,6.932194,6.8157125
"Q74GY1",8.1933045,8.364025,8.402648,8.238749,8.14216925,8.185627,8.14216925,8.4398235,8.187909
"Q74FR2",5.3134745,5.522522,5.4890185,5.616202,5.38550425,5.677799,5.38550425,5.667236,5.7480415
"P60804",7.50068,6.29822,6.389207,6.932393,7.5361595,6.947488,7.5361595,6.4176035,6.92673
"Q74GN1",6.597119,6.605865,6.4987175,6.730588,6.631209,6.822004,6.631209,6.616687,6.723717
"Q74AH2",6.5386045,6.097778,5.9778115,6.360044,6.49923225,6.278754,6.49923225,6.0469235,6.291848
"Q74A27",6.362487,5.524285,5.508743,6.229963,6.353685,6.395798,6.353685,5.530861,6.267829
"A0LGG6",5.341908,5.34717,5.4385835,4.99815,5.1618185,6.278388,5.1618185,5.177244,5.1624235
"Q749A8",7.2649325,6.201097,6.1400665,6.836147,7.26150925,6.757996,7.26150925,6.246754,6.8556445
"Q74B34",6.104158,5.531003,5.790285,6.138018,6.0257715,6.114311,6.0257715,5.567274,6.133983
"Q74CJ2",6.020433,5.640471,5.656806,5.862459,5.945606,6.045518,5.945606,5.6084925,5.8812025
"Q749B4",7.804466,7.692098,7.685258,7.850554,7.8490805,7.852541,7.8490805,7.724705,7.895483
"I7F9G4",7.7625715,6.671145,6.6577275,7.377142,7.93215975,7.039691,7.93215975,6.692578,7.401615
"Q74BN9",5.894669,5.97591,6.1459505,6.155123,5.9620465,6.339213,5.9620465,5.997534,6.1339145
"Q74EV9",6.6007995,6.247359,6.5416675,6.852291,6.69353425,6.785522,6.69353425,6.3995755,6.81238
"Q748Y0",6.57667,7.357782,7.285118,6.447484,6.579054,6.4817,6.579054,7.3238415,6.384769
"Q74FD5",7.914573,7.483459,7.4394015,8.214155,7.8070625,7.997098,7.8070625,7.463134,8.1538235
